Student_ID,Course_ID,Course_Title,Registration_Date,Content_Completion_Percentage,Login_Count,Assessment_Score,Assignment_Submission,Course_Completed,Certificate_Issued,Last_Activity_Date
STU_046,COURSE_019,Professional Pathway Course COURSE_019,2026-01-22,17,12,61,1,No,No,2026-02-14
STU_047,COURSE_020,Professional Pathway Course COURSE_020,2026-02-04,10,10,44,0,No,No,2026-04-12
STU_048,COURSE_021,Professional Pathway Course COURSE_021,2026-01-18,88,4,87,4,Yes,Yes,2026-03-28
STU_049,COURSE_022,Professional Pathway Course COURSE_022,2026-01-29,88,80,84,2,Yes,Yes,2026-04-19
STU_050,COURSE_023,Professional Pathway Course COURSE_023,2026-01-06,42,39,62,3,No,No,2026-02-15
STU_051,COURSE_024,Professional Pathway Course COURSE_024,2026-01-31,19,14,53,1,No,No,2026-03-09
STU_052,COURSE_025,Professional Pathway Course COURSE_025,2026-01-11,27,15,39,2,No,No,2026-03-10
STU_053,COURSE_026,Professional Pathway Course COURSE_026,2026-01-19,94,90,76,2,Yes,Yes,2026-03-24
STU_054,COURSE_027,Professional Pathway Course COURSE_027,2026-02-12,88,70,99,2,Yes,Yes,2026-04-25
STU_055,COURSE_028,Professional Pathway Course COURSE_028,2026-01-14,44,50,47,0,No,No,2026-01-31
STU_056,COURSE_001,Professional Pathway Course COURSE_001,2026-01-04,17,14,55,0,No,No,2026-02-23
STU_057,COURSE_002,Professional Pathway Course COURSE_002,2026-01-31,11,5,56,0,No,No,2026-04-15
STU_058,COURSE_003,Professional Pathway Course COURSE_003,2026-01-11,3,2,54,0,No,No,2026-01-28
STU_059,COURSE_004,Professional Pathway Course COURSE_004,2026-01-05,59,60,81,1,No,No,2026-02-14
STU_060,COURSE_005,Professional Pathway Course COURSE_005,2026-02-08,28,22,80,1,No,No,2026-02-23
STU_061,COURSE_006,Professional Pathway Course COURSE_006,2026-02-12,16,10,51,1,No,No,2026-05-07
STU_062,COURSE_007,Professional Pathway Course COURSE_007,2026-01-16,76,70,72,3,No,No,2026-02-28
STU_063,COURSE_008,Professional Pathway Course COURSE_008,2026-01-30,100,90,91,5,Yes,Yes,2026-03-21
STU_064,COURSE_009,Professional Pathway Course COURSE_009,2026-02-06,17,13,81,1,No,No,2026-02-28
STU_065,COURSE_010,Professional Pathway Course COURSE_010,2026-02-02,4,5,44,0,No,No,2026-03-17
STU_066,COURSE_011,Professional Pathway Course COURSE_011,2026-02-26,9,5,49,1,No,No,2026-03-16
STU_067,COURSE_012,Professional Pathway Course COURSE_012,2026-02-15,18,10,79,1,No,No,2026-04-04
STU_068,COURSE_013,Professional Pathway Course COURSE_013,2026-01-01,88,75,98,3,Yes,Yes,2026-03-22
STU_069,COURSE_014,Professional Pathway Course COURSE_014,2026-03-02,88,69,85,4,Yes,Yes,2026-03-29
STU_070,COURSE_015,Professional Pathway Course COURSE_015,2026-01-18,47,40,66,2,No,No,2026-03-05
STU_071,COURSE_016,Professional Pathway Course COURSE_016,2026-01-22,32,30,60,1,No,No,2026-02-27
STU_072,COURSE_017,Professional Pathway Course COURSE_017,2026-02-27,29,22,70,1,No,No,2026-03-15
STU_073,COURSE_018,Professional Pathway Course COURSE_018,2026-02-23,6,2,51,0,No,No,2026-04-09
STU_074,COURSE_019,Professional Pathway Course COURSE_019,2026-01-11,31,30,70,1,No,No,2026-03-18
STU_075,COURSE_020,Professional Pathway Course COURSE_020,2026-02-05,4,0,51,0,No,No,2026-02-16
STU_076,COURSE_021,Professional Pathway Course COURSE_021,2026-02-04,92,90,66,3,Yes,Yes,2026-02-18
STU_077,COURSE_022,Professional Pathway Course COURSE_022,2026-01-03,62,70,66,2,No,No,2026-02-21
STU_078,COURSE_023,Professional Pathway Course COURSE_023,2026-02-27,72,80,63,2,No,No,2026-04-23
STU_079,COURSE_024,Professional Pathway Course COURSE_024,2026-02-12,7,3,45,0,No,No,2026-03-07
STU_080,COURSE_025,Professional Pathway Course COURSE_025,2026-02-26,100,90,99,5,Yes,Yes,2026-04-29
STU_081,COURSE_026,Professional Pathway Course COURSE_026,2026-01-10,15,15,61,0,No,No,2026-02-19
STU_082,COURSE_027,Professional Pathway Course COURSE_027,2026-02-26,23,25,43,0,No,No,2026-04-29
STU_083,COURSE_028,Professional Pathway Course COURSE_028,2026-03-01,6,5,61,0,No,No,2026-04-22
STU_084,COURSE_001,Professional Pathway Course COURSE_001,2026-01-18,6,4,69,0,No,No,2026-02-17
STU_085,COURSE_002,Professional Pathway Course COURSE_002,2026-01-25,88,70,85,4,Yes,Yes,2026-02-08
STU_086,COURSE_003,Professional Pathway Course COURSE_003,2026-01-13,0,0,45,0,No,No,2026-03-22
STU_087,COURSE_004,Professional Pathway Course COURSE_004,2026-01-15,88,12,89,4,Yes,Yes,2026-01-28
STU_088,COURSE_005,Professional Pathway Course COURSE_005,2026-01-22,60,70,50,0,No,No,2026-03-08
STU_089,COURSE_006,Professional Pathway Course COURSE_006,2026-01-23,10,12,46,0,No,No,2026-04-08
STU_090,COURSE_007,Professional Pathway Course COURSE_007,2026-01-22,18,20,55,0,No,No,2026-02-04
STU_091,COURSE_008,Professional Pathway Course COURSE_008,2026-01-12,8,8,46,0,No,No,2026-04-06
STU_092,COURSE_009,Professional Pathway Course COURSE_009,2026-01-03,100,90,90,5,Yes,Yes,2026-01-26
STU_093,COURSE_010,Professional Pathway Course COURSE_010,2026-02-16,88,70,93,2,Yes,Yes,2026-04-07
STU_094,COURSE_011,Professional Pathway Course COURSE_011,2026-01-08,93,89,98,3,Yes,Yes,2026-03-08
STU_095,COURSE_012,Professional Pathway Course COURSE_012,2026-01-17,60,44,44,2,No,No,2026-02-01
STU_096,COURSE_013,Professional Pathway Course COURSE_013,2026-02-03,100,80,82,4,Yes,Yes,2026-04-22
STU_097,COURSE_014,Professional Pathway Course COURSE_014,2026-01-24,88,60,88,1,Yes,Yes,2026-03-30
STU_098,COURSE_015,Professional Pathway Course COURSE_015,2026-02-12,4,2,72,1,No,No,2026-03-09
STU_099,COURSE_016,Professional Pathway Course COURSE_016,2026-01-21,6,3,75,0,No,No,2026-03-23
STU_100,COURSE_017,Professional Pathway Course COURSE_017,2026-02-13,25,7,74,2,No,No,2026-03-17
STU_101,COURSE_018,Professional Pathway Course COURSE_018,2026-01-20,92,90,62,3,Yes,Yes,2026-03-07
STU_102,COURSE_019,Professional Pathway Course COURSE_019,2026-02-08,100,92,100,4,Yes,Yes,2026-03-31
STU_103,COURSE_020,Professional Pathway Course COURSE_020,2026-02-13,5,6,52,0,No,No,2026-03-22
STU_104,COURSE_021,Professional Pathway Course COURSE_021,2026-01-11,6,7,61,0,No,No,2026-01-31
STU_105,COURSE_022,Professional Pathway Course COURSE_022,2026-02-22,9,12,64,0,No,No,2026-04-03
STU_106,COURSE_023,Professional Pathway Course COURSE_023,2026-02-21,0,0,45,0,No,No,2026-03-28
STU_107,COURSE_024,Professional Pathway Course COURSE_024,2026-02-24,25,26,81,0,No,No,2026-03-15
STU_108,COURSE_025,Professional Pathway Course COURSE_025,2026-01-13,100,90,100,4,Yes,Yes,2026-03-13
STU_109,COURSE_026,Professional Pathway Course COURSE_026,2026-02-27,12,12,62,0,No,No,2026-03-22
STU_110,COURSE_027,Professional Pathway Course COURSE_027,2026-01-30,92,70,78,4,Yes,Yes,2026-02-15
STU_111,COURSE_028,Professional Pathway Course COURSE_028,2026-01-30,98,88,85,5,Yes,Yes,2026-02-26
STU_112,COURSE_001,Professional Pathway Course COURSE_001,2026-01-21,94,80,81,5,Yes,Yes,2026-03-28
STU_113,COURSE_002,Professional Pathway Course COURSE_002,2026-02-27,4,5,61,0,No,No,2026-05-12
STU_114,COURSE_003,Professional Pathway Course COURSE_003,2026-01-29,31,27,55,1,No,No,2026-02-28
STU_115,COURSE_004,Professional Pathway Course COURSE_004,2026-01-29,6,2,53,0,No,No,2026-03-13
STU_116,COURSE_005,Professional Pathway Course COURSE_005,2026-01-18,6,8,58,0,No,No,2026-04-04
STU_117,COURSE_006,Professional Pathway Course COURSE_006,2026-01-16,94,80,71,3,Yes,Yes,2026-03-01
STU_118,COURSE_007,Professional Pathway Course COURSE_007,2026-01-06,88,29,99,2,Yes,Yes,2026-02-02
STU_119,COURSE_008,Professional Pathway Course COURSE_008,2026-01-05,37,35,68,1,No,No,2026-03-09
STU_120,COURSE_009,Professional Pathway Course COURSE_009,2026-02-23,72,60,68,2,No,No,2026-04-27
STU_121,COURSE_010,Professional Pathway Course COURSE_010,2026-02-24,18,12,62,0,No,No,2026-05-18
STU_122,COURSE_011,Professional Pathway Course COURSE_011,2026-03-02,3,4,38,0,No,No,2026-04-26
STU_123,COURSE_012,Professional Pathway Course COURSE_012,2026-02-04,98,90,75,4,Yes,Yes,2026-04-24
STU_124,COURSE_013,Professional Pathway Course COURSE_013,2026-01-28,100,98,70,3,Yes,Yes,2026-04-10
STU_125,COURSE_014,Professional Pathway Course COURSE_014,2026-02-12,4,6,48,0,No,No,2026-04-14
STU_126,COURSE_015,Professional Pathway Course COURSE_015,2026-02-28,28,30,52,0,No,No,2026-03-26
STU_127,COURSE_016,Professional Pathway Course COURSE_016,2026-02-06,8,9,80,0,No,No,2026-02-19
STU_128,COURSE_017,Professional Pathway Course COURSE_017,2026-01-09,48,33,51,2,No,No,2026-03-19
STU_129,COURSE_018,Professional Pathway Course COURSE_018,2026-01-25,12,10,46,1,No,No,2026-03-17
STU_130,COURSE_019,Professional Pathway Course COURSE_019,2026-01-22,60,90,48,2,No,No,2026-03-21
STU_131,COURSE_020,Professional Pathway Course COURSE_020,2026-01-17,10,9,51,0,No,No,2026-02-06
STU_132,COURSE_021,Professional Pathway Course COURSE_021,2026-01-15,65,42,73,4,No,No,2026-02-02
STU_133,COURSE_022,Professional Pathway Course COURSE_022,2026-01-03,2,3,58,0,No,No,2026-01-16
STU_134,COURSE_023,Professional Pathway Course COURSE_023,2026-02-23,52,60,44,0,No,No,2026-03-07
STU_135,COURSE_024,Professional Pathway Course COURSE_024,2026-01-09,96,80,89,3,Yes,Yes,2026-03-20
STU_136,COURSE_025,Professional Pathway Course COURSE_025,2026-03-02,92,80,100,5,Yes,Yes,2026-04-08
STU_137,COURSE_026,Professional Pathway Course COURSE_026,2026-02-19,92,80,90,5,Yes,Yes,2026-04-17
STU_138,COURSE_027,Professional Pathway Course COURSE_027,2026-02-19,88,80,65,4,Yes,Yes,2026-03-21
STU_139,COURSE_028,Professional Pathway Course COURSE_028,2026-02-07,100,80,85,5,Yes,Yes,2026-02-20
STU_140,COURSE_001,Professional Pathway Course COURSE_001,2026-01-26,100,85,74,5,Yes,Yes,2026-03-02
STU_141,COURSE_002,Professional Pathway Course COURSE_002,2026-02-23,52,60,60,0,No,No,2026-05-24
STU_142,COURSE_003,Professional Pathway Course COURSE_003,2026-02-19,59,65,60,2,No,No,2026-04-08
STU_143,COURSE_004,Professional Pathway Course COURSE_004,2026-02-20,64,75,80,2,No,No,2026-03-07
STU_144,COURSE_005,Professional Pathway Course COURSE_005,2026-02-12,100,90,95,5,Yes,Yes,2026-04-10
STU_145,COURSE_006,Professional Pathway Course COURSE_006,2026-01-22,12,10,58,1,No,No,2026-02-02
STU_146,COURSE_007,Professional Pathway Course COURSE_007,2026-02-10,88,75,73,5,Yes,Yes,2026-04-19
STU_147,COURSE_008,Professional Pathway Course COURSE_008,2026-01-12,100,75,95,5,Yes,Yes,2026-03-29
STU_148,COURSE_009,Professional Pathway Course COURSE_009,2026-02-19,67,79,79,1,No,No,2026-05-01
STU_149,COURSE_010,Professional Pathway Course COURSE_010,2026-02-24,68,55,72,3,No,No,2026-04-06
STU_150,COURSE_011,Professional Pathway Course COURSE_011,2026-01-18,100,75,84,5,Yes,Yes,2026-03-26
STU_151,COURSE_012,Professional Pathway Course COURSE_012,2026-02-06,96,80,96,5,Yes,Yes,2026-05-05
STU_152,COURSE_013,Professional Pathway Course COURSE_013,2026-01-12,59,63,72,3,No,No,2026-03-25
STU_153,COURSE_014,Professional Pathway Course COURSE_014,2026-01-22,100,91,90,5,Yes,Yes,2026-03-08
STU_154,COURSE_015,Professional Pathway Course COURSE_015,2026-02-26,44,51,60,2,No,No,2026-04-12
STU_155,COURSE_016,Professional Pathway Course COURSE_016,2026-02-16,68,50,69,4,No,No,2026-04-19
STU_156,COURSE_017,Professional Pathway Course COURSE_017,2026-02-14,88,58,89,5,Yes,Yes,2026-04-25
STU_157,COURSE_018,Professional Pathway Course COURSE_018,2026-01-19,68,50,64,4,No,No,2026-02-26
STU_158,COURSE_019,Professional Pathway Course COURSE_019,2026-01-31,68,50,73,4,No,No,2026-04-21
STU_159,COURSE_020,Professional Pathway Course COURSE_020,2026-02-17,49,51,51,2,No,No,2026-05-08
STU_160,COURSE_021,Professional Pathway Course COURSE_021,2026-01-15,79,68,70,4,No,No,2026-02-09
STU_161,COURSE_022,Professional Pathway Course COURSE_022,2026-01-08,100,89,92,5,Yes,Yes,2026-03-27
STU_162,COURSE_023,Professional Pathway Course COURSE_023,2026-01-18,92,80,77,5,Yes,Yes,2026-04-13
STU_163,COURSE_024,Professional Pathway Course COURSE_024,2026-02-08,93,82,98,2,Yes,Yes,2026-03-26
STU_164,COURSE_025,Professional Pathway Course COURSE_025,2026-01-12,89,82,73,5,Yes,Yes,2026-03-01
STU_165,COURSE_026,Professional Pathway Course COURSE_026,2026-02-05,79,72,63,5,No,No,2026-03-24
STU_166,COURSE_027,Professional Pathway Course COURSE_027,2026-02-10,88,65,86,5,Yes,Yes,2026-04-23
STU_167,COURSE_028,Professional Pathway Course COURSE_028,2026-01-29,86,82,77,4,Yes,Yes,2026-03-23
STU_168,COURSE_001,Professional Pathway Course COURSE_001,2026-01-17,100,92,83,5,Yes,Yes,2026-03-29
STU_169,COURSE_002,Professional Pathway Course COURSE_002,2026-01-26,88,52,84,3,Yes,Yes,2026-04-08
STU_170,COURSE_003,Professional Pathway Course COURSE_003,2026-02-21,21,12,66,2,No,No,2026-05-14
STU_171,COURSE_004,Professional Pathway Course COURSE_004,2026-01-16,88,62,84,4,Yes,Yes,2026-02-10
STU_172,COURSE_005,Professional Pathway Course COURSE_005,2026-01-15,65,52,81,3,No,No,2026-04-01
STU_173,COURSE_006,Professional Pathway Course COURSE_006,2026-01-20,25,22,52,2,No,No,2026-04-15
STU_174,COURSE_007,Professional Pathway Course COURSE_007,2026-02-06,49,52,47,1,No,No,2026-05-06
STU_175,COURSE_008,Professional Pathway Course COURSE_008,2026-02-10,69,62,68,4,No,No,2026-03-19
STU_176,COURSE_009,Professional Pathway Course COURSE_009,2026-01-11,5,2,40,0,No,No,2026-02-20
STU_177,COURSE_010,Professional Pathway Course COURSE_010,2026-01-11,88,52,84,3,Yes,Yes,2026-01-21
STU_178,COURSE_011,Professional Pathway Course COURSE_011,2026-01-15,47,52,63,3,No,No,2026-03-02
STU_179,COURSE_012,Professional Pathway Course COURSE_012,2026-01-05,88,42,96,4,Yes,Yes,2026-02-13
STU_180,COURSE_013,Professional Pathway Course COURSE_013,2026-01-28,56,51,68,2,No,No,2026-02-21
STU_181,COURSE_014,Professional Pathway Course COURSE_014,2026-02-28,88,70,86,4,Yes,Yes,2026-04-13
STU_182,COURSE_015,Professional Pathway Course COURSE_015,2026-01-04,60,62,40,2,No,No,2026-02-04
STU_183,COURSE_016,Professional Pathway Course COURSE_016,2026-02-28,94,75,100,5,Yes,Yes,2026-04-15
STU_184,COURSE_017,Professional Pathway Course COURSE_017,2026-03-02,22,15,74,2,No,No,2026-04-15
STU_185,COURSE_018,Professional Pathway Course COURSE_018,2026-01-29,32,35,53,1,No,No,2026-02-18
STU_186,COURSE_019,Professional Pathway Course COURSE_019,2026-02-17,88,65,95,5,Yes,Yes,2026-04-09
STU_187,COURSE_020,Professional Pathway Course COURSE_020,2026-02-07,46,15,80,4,No,No,2026-02-19
STU_188,COURSE_021,Professional Pathway Course COURSE_021,2026-02-18,88,71,63,5,Yes,Yes,2026-03-22
STU_189,COURSE_022,Professional Pathway Course COURSE_022,2026-02-28,88,71,96,5,Yes,Yes,2026-04-14
STU_190,COURSE_023,Professional Pathway Course COURSE_023,2026-01-06,86,66,77,3,Yes,Yes,2026-03-17
STU_191,COURSE_024,Professional Pathway Course COURSE_024,2026-01-21,29,25,48,2,No,No,2026-02-13
STU_192,COURSE_025,Professional Pathway Course COURSE_025,2026-01-27,26,25,48,2,No,No,2026-04-10
STU_193,COURSE_026,Professional Pathway Course COURSE_026,2026-01-03,100,91,79,5,Yes,Yes,2026-03-12
STU_194,COURSE_027,Professional Pathway Course COURSE_027,2026-02-25,92,75,74,5,Yes,Yes,2026-05-11
STU_195,COURSE_028,Professional Pathway Course COURSE_028,2026-01-27,81,75,76,5,No,No,2026-02-12
STU_196,COURSE_001,Professional Pathway Course COURSE_001,2026-02-18,40,43,76,2,No,No,2026-03-06
STU_197,COURSE_002,Professional Pathway Course COURSE_002,2026-01-09,88,65,99,5,Yes,Yes,2026-02-24
STU_198,COURSE_003,Professional Pathway Course COURSE_003,2026-01-08,93,75,97,5,Yes,Yes,2026-01-21
STU_199,COURSE_004,Professional Pathway Course COURSE_004,2026-02-21,22,15,57,2,No,No,2026-04-02
STU_200,COURSE_005,Professional Pathway Course COURSE_005,2026-01-06,94,95,75,2,Yes,Yes,2026-02-13
STU_201,COURSE_006,Professional Pathway Course COURSE_006,2026-01-30,88,90,85,2,Yes,Yes,2026-02-24
STU_202,COURSE_007,Professional Pathway Course COURSE_007,2026-02-01,88,58,86,3,Yes,Yes,2026-03-20
STU_203,COURSE_008,Professional Pathway Course COURSE_008,2026-01-16,14,5,77,1,No,No,2026-03-25
STU_204,COURSE_009,Professional Pathway Course COURSE_009,2026-02-17,49,51,78,2,No,No,2026-03-16
STU_205,COURSE_010,Professional Pathway Course COURSE_010,2026-02-19,19,10,46,1,No,No,2026-04-23
STU_206,COURSE_011,Professional Pathway Course COURSE_011,2026-01-18,88,51,98,4,Yes,Yes,2026-01-28
STU_207,COURSE_012,Professional Pathway Course COURSE_012,2026-02-25,51,31,77,4,No,No,2026-03-26
STU_208,COURSE_013,Professional Pathway Course COURSE_013,2026-01-25,23,21,79,2,No,No,2026-04-03
STU_209,COURSE_014,Professional Pathway Course COURSE_014,2026-02-06,43,41,69,3,No,No,2026-04-06
STU_210,COURSE_015,Professional Pathway Course COURSE_015,2026-02-15,92,81,77,4,Yes,Yes,2026-04-14
STU_211,COURSE_016,Professional Pathway Course COURSE_016,2026-02-01,88,90,86,4,Yes,Yes,2026-02-15
STU_212,COURSE_017,Professional Pathway Course COURSE_017,2026-02-25,55,61,65,2,No,No,2026-05-02
STU_213,COURSE_018,Professional Pathway Course COURSE_018,2026-01-01,99,81,96,5,Yes,Yes,2026-01-29
STU_214,COURSE_019,Professional Pathway Course COURSE_019,2026-01-10,51,61,58,1,No,No,2026-01-29
STU_215,COURSE_020,Professional Pathway Course COURSE_020,2026-01-22,46,50,46,0,No,No,2026-04-21
STU_216,COURSE_021,Professional Pathway Course COURSE_021,2026-01-06,18,21,58,1,No,No,2026-02-27
STU_217,COURSE_022,Professional Pathway Course COURSE_022,2026-02-10,43,41,72,2,No,No,2026-04-23
STU_218,COURSE_023,Professional Pathway Course COURSE_023,2026-01-15,100,88,71,5,Yes,Yes,2026-02-05
STU_219,COURSE_024,Professional Pathway Course COURSE_024,2026-02-18,88,61,85,5,Yes,Yes,2026-03-12
STU_220,COURSE_025,Professional Pathway Course COURSE_025,2026-01-21,63,51,63,4,No,No,2026-02-07
STU_221,COURSE_026,Professional Pathway Course COURSE_026,2026-01-27,86,69,78,4,Yes,Yes,2026-04-19
STU_222,COURSE_027,Professional Pathway Course COURSE_027,2026-02-25,72,51,81,4,No,No,2026-04-24
STU_223,COURSE_028,Professional Pathway Course COURSE_028,2026-01-15,73,61,66,5,No,No,2026-03-25
STU_224,COURSE_001,Professional Pathway Course COURSE_001,2026-01-17,95,83,96,3,Yes,Yes,2026-01-28
STU_225,COURSE_002,Professional Pathway Course COURSE_002,2026-02-27,99,81,96,4,Yes,Yes,2026-04-14
STU_226,COURSE_003,Professional Pathway Course COURSE_003,2026-02-07,100,90,73,3,Yes,Yes,2026-03-27
STU_227,COURSE_004,Professional Pathway Course COURSE_004,2026-02-14,9,11,51,2,No,No,2026-03-28
STU_228,COURSE_005,Professional Pathway Course COURSE_005,2026-01-13,4,3,47,0,No,No,2026-03-13
STU_229,COURSE_006,Professional Pathway Course COURSE_006,2026-01-16,96,84,85,5,Yes,Yes,2026-03-15
STU_230,COURSE_007,Professional Pathway Course COURSE_007,2026-01-19,15,17,56,1,No,No,2026-03-07
STU_231,COURSE_008,Professional Pathway Course COURSE_008,2026-02-06,54,42,62,2,No,No,2026-02-22
STU_232,COURSE_009,Professional Pathway Course COURSE_009,2026-02-01,9,7,61,1,No,No,2026-03-19
STU_233,COURSE_010,Professional Pathway Course COURSE_010,2026-02-10,65,72,69,1,No,No,2026-03-16
STU_234,COURSE_011,Professional Pathway Course COURSE_011,2026-02-10,76,80,66,3,No,No,2026-03-04
STU_235,COURSE_012,Professional Pathway Course COURSE_012,2026-01-03,60,60,76,3,No,No,2026-03-28
STU_236,COURSE_013,Professional Pathway Course COURSE_013,2026-01-06,11,8,42,1,No,No,2026-02-22
STU_237,COURSE_014,Professional Pathway Course COURSE_014,2026-01-12,28,10,51,2,No,No,2026-02-16
STU_238,COURSE_015,Professional Pathway Course COURSE_015,2026-02-02,92,80,78,5,Yes,Yes,2026-03-18
STU_239,COURSE_016,Professional Pathway Course COURSE_016,2026-02-21,92,80,77,5,Yes,Yes,2026-04-09
STU_240,COURSE_017,Professional Pathway Course COURSE_017,2026-02-21,100,80,92,5,Yes,Yes,2026-03-17
STU_241,COURSE_018,Professional Pathway Course COURSE_018,2026-01-10,92,80,84,5,Yes,Yes,2026-02-17
STU_242,COURSE_019,Professional Pathway Course COURSE_019,2026-01-24,92,80,79,5,Yes,Yes,2026-02-14
STU_243,COURSE_020,Professional Pathway Course COURSE_020,2026-01-17,24,20,38,1,No,No,2026-04-05
STU_244,COURSE_021,Professional Pathway Course COURSE_021,2026-02-07,20,20,70,2,No,No,2026-04-06
STU_245,COURSE_022,Professional Pathway Course COURSE_022,2026-01-07,100,92,93,5,Yes,Yes,2026-02-15
STU_246,COURSE_023,Professional Pathway Course COURSE_023,2026-02-28,52,40,72,4,No,No,2026-05-27
STU_247,COURSE_024,Professional Pathway Course COURSE_024,2026-02-10,100,94,84,5,Yes,Yes,2026-04-20
STU_248,COURSE_025,Professional Pathway Course COURSE_025,2026-01-03,73,48,66,5,No,No,2026-01-17
STU_249,COURSE_026,Professional Pathway Course COURSE_026,2026-01-08,60,40,53,2,No,No,2026-01-30
